sale_id,product_id,sale_date,quantity,unit_price,customer_type,created_at
5364d0fe-d5e3-4362-8126-b65652048c99,decd0138-4c04-4f18-8d2d-c85371011a15,2025-07-01,8.0,10670.15,Retail,2025-07-01T16:59:27.391Z
c6aa1465-8513-4a21-8a35-21b47c523ae7,decd0138-4c04-4f18-8d2d-c85371011a15,2025-07-13,3.0,10670.15,Retail,2025-07-13T16:59:27.391Z
9986407e-290e-43fa-823b-e3bf96164a35,decd0138-4c04-4f18-8d2d-c85371011a15,2025-07-18,5.0,10670.15,Retail,2025-07-18T16:59:27.391Z
72520242-023a-42fe-94f1-dd02bb17a34e,decd0138-4c04-4f18-8d2d-c85371011a15,2025-08-13,9.0,10670.15,Retail,2025-08-13T16:59:27.391Z
1128274b-0095-494e-aa56-4d6571950800,decd0138-4c04-4f18-8d2d-c85371011a15,2025-09-13,9.0,10670.15,Retail,2025-09-13T16:59:27.391Z
6ec2ae22-4617-43dc-8f04-83bb1bff7a5d,decd0138-4c04-4f18-8d2d-c85371011a15,2025-09-15,6.0,10670.15,Retail,2025-09-15T16:59:27.391Z
a4a648b4-0fcc-41bf-8e03-9a3a94302718,decd0138-4c04-4f18-8d2d-c85371011a15,2025-09-22,8.0,10670.15,Retail,2025-09-22T16:59:27.391Z
15a67989-e41b-40a4-b61f-edd21cce5aa7,decd0138-4c04-4f18-8d2d-c85371011a15,2025-10-16,9.0,10670.15,Retail,2025-10-16T16:59:27.391Z
14835536-1680-426a-b158-c3763694ff1b,decd0138-4c04-4f18-8d2d-c85371011a15,2025-11-10,5.0,10670.15,Retail,2025-11-10T16:59:27.391Z
bd3dc8d9-c9a0-4573-a8ad-e771e0b0b9d1,decd0138-4c04-4f18-8d2d-c85371011a15,2025-12-02,32.0,9069.63,Wholesale,2025-12-02T16:59:27.391Z
5b3d07b3-2930-4c26-8404-31b123bf7582,decd0138-4c04-4f18-8d2d-c85371011a15,2026-01-24,6.0,10670.15,Retail,2026-01-24T16:59:27.391Z
3d56cc7e-96f0-4a2c-9bd4-654d86a0066b,decd0138-4c04-4f18-8d2d-c85371011a15,2026-02-09,3.0,10670.15,Retail,2026-02-09T16:59:27.391Z
a249d66f-614c-43bb-b502-481887e1cadb,decd0138-4c04-4f18-8d2d-c85371011a15,2026-02-26,2.0,10670.15,Retail,2026-02-26T16:59:27.391Z
b28094ae-e227-4958-a70d-8e948bbb8058,decd0138-4c04-4f18-8d2d-c85371011a15,2026-04-01,1.0,10670.15,Retail,2026-04-01T16:59:27.391Z
67255c95-c90d-4758-bd18-adba657577a7,decd0138-4c04-4f18-8d2d-c85371011a15,2026-04-16,2.0,10670.15,Retail,2026-04-16T16:59:27.391Z
1a1bf347-8763-4609-9ac9-9219f5cce5e2,decd0138-4c04-4f18-8d2d-c85371011a15,2026-04-23,1.0,10670.15,Retail,2026-04-23T16:59:27.391Z
daba291f-0ed5-4c61-9ce8-35ce344da175,decd0138-4c04-4f18-8d2d-c85371011a15,2026-05-31,6.0,10670.15,Retail,2026-05-31T16:59:27.391Z
cc692496-f33a-433c-9ff8-87833010e1d2,decd0138-4c04-4f18-8d2d-c85371011a15,2026-06-11,8.0,10670.15,Retail,2026-06-11T16:59:27.391Z
ccc08bb5-e8a7-4e0c-bda1-7769112e262f,decd0138-4c04-4f18-8d2d-c85371011a15,2026-06-21,4.0,10670.15,Retail,2026-06-21T16:59:27.391Z
11899534-a344-4a5b-83fe-b5bf2bfa5c0b,decd0138-4c04-4f18-8d2d-c85371011a15,2026-06-25,7.0,10670.15,Retail,2026-06-25T16:59:27.391Z
1a67623a-9b31-4f72-8d44-e7194764d098,961678d3-9942-4d57-9dbc-ee7839a71f76,2025-07-19,4.0,258.75,Retail,2025-07-19T16:59:27.391Z
8182bc3f-89d1-45a4-b93f-92efab7aaefb,961678d3-9942-4d57-9dbc-ee7839a71f76,2025-08-15,9.0,258.75,Retail,2025-08-15T16:59:27.391Z
b1f9673d-a298-45f2-914d-bf03b78ac4d3,961678d3-9942-4d57-9dbc-ee7839a71f76,2025-08-19,7.0,258.75,Retail,2025-08-19T16:59:27.391Z
81adf1a1-7a46-4dcb-bf42-d80f6f4b735b,961678d3-9942-4d57-9dbc-ee7839a71f76,2025-09-03,7.0,258.75,Retail,2025-09-03T16:59:27.391Z
07aaa844-d18c-4516-b725-8771de6d9d2b,961678d3-9942-4d57-9dbc-ee7839a71f76,2025-09-05,9.0,258.75,Retail,2025-09-05T16:59:27.391Z
adc7f01d-9f45-4248-a226-a3935e63385d,961678d3-9942-4d57-9dbc-ee7839a71f76,2025-11-11,22.0,219.94,Wholesale,2025-11-11T16:59:27.391Z
6806088e-0522-497b-9464-10d8f448641d,961678d3-9942-4d57-9dbc-ee7839a71f76,2025-12-20,1.0,258.75,Retail,2025-12-20T16:59:27.391Z
db803411-e08e-429a-9c99-4e67040ef8a3,961678d3-9942-4d57-9dbc-ee7839a71f76,2025-12-25,2.0,258.75,Retail,2025-12-25T16:59:27.391Z
cbdef57a-dfee-4ef9-8b74-eafd720d3c78,961678d3-9942-4d57-9dbc-ee7839a71f76,2026-02-09,5.0,258.75,Retail,2026-02-09T16:59:27.391Z
85fab73d-404c-4632-b0ab-c6b452f2fc8b,961678d3-9942-4d57-9dbc-ee7839a71f76,2026-02-12,4.0,258.75,Retail,2026-02-12T16:59:27.391Z
6610bafd-a3d0-4419-aaa1-b581aca2bde0,961678d3-9942-4d57-9dbc-ee7839a71f76,2026-02-23,8.0,258.75,Retail,2026-02-23T16:59:27.391Z
a83f1463-6835-4316-b8c3-490b7371fe67,961678d3-9942-4d57-9dbc-ee7839a71f76,2026-03-29,5.0,258.75,Retail,2026-03-29T16:59:27.391Z
a0ca4100-1bac-4835-86b2-bda416fa6862,961678d3-9942-4d57-9dbc-ee7839a71f76,2026-04-11,10.0,258.75,Retail,2026-04-11T16:59:27.391Z
