sale_id,product_id,sale_date,quantity,unit_price,customer_type,created_at,unit_cost,revenue,profit,profit_margin,week,month,quarter,year,day_of_week,weekend_indicator,season,rolling_sales_7d,rolling_sales_30d
5364d0fe-d5e3-4362-8126-b65652048c99,decd0138-4c04-4f18-8d2d-c85371011a15,2025-07-01 00:00:00,8.0,10670.15,Retail,2025-07-01 16:59:27,7724.89,85361.2,23562.079999999994,0.2760279846112753,27,7,3,2025,1,0,Summer,8.0,8.0
c6aa1465-8513-4a21-8a35-21b47c523ae7,decd0138-4c04-4f18-8d2d-c85371011a15,2025-07-13 00:00:00,3.0,10670.15,Retail,2025-07-13 16:59:27,7724.89,32010.449999999997,8835.779999999995,0.27602798461127526,28,7,3,2025,6,1,Summer,3.0,11.0
9986407e-290e-43fa-823b-e3bf96164a35,decd0138-4c04-4f18-8d2d-c85371011a15,2025-07-18 00:00:00,5.0,10670.15,Retail,2025-07-18 16:59:27,7724.89,53350.75,14726.299999999996,0.2760279846112753,29,7,3,2025,4,0,Summer,8.0,16.0
72520242-023a-42fe-94f1-dd02bb17a34e,decd0138-4c04-4f18-8d2d-c85371011a15,2025-08-13 00:00:00,9.0,10670.15,Retail,2025-08-13 16:59:27,7724.89,96031.34999999999,26507.339999999982,0.2760279846112752,33,8,3,2025,2,0,Summer,9.0,14.0
1128274b-0095-494e-aa56-4d6571950800,decd0138-4c04-4f18-8d2d-c85371011a15,2025-09-13 00:00:00,9.0,10670.15,Retail,2025-09-13 16:59:27,7724.89,96031.34999999999,26507.339999999982,0.2760279846112752,37,9,3,2025,5,1,Autumn,9.0,9.0
6ec2ae22-4617-43dc-8f04-83bb1bff7a5d,decd0138-4c04-4f18-8d2d-c85371011a15,2025-09-15 00:00:00,6.0,10670.15,Retail,2025-09-15 16:59:27,7724.89,64020.899999999994,17671.55999999999,0.27602798461127526,38,9,3,2025,0,0,Autumn,15.0,15.0
a4a648b4-0fcc-41bf-8e03-9a3a94302718,decd0138-4c04-4f18-8d2d-c85371011a15,2025-09-22 00:00:00,8.0,10670.15,Retail,2025-09-22 16:59:27,7724.89,85361.2,23562.079999999994,0.2760279846112753,39,9,3,2025,0,0,Autumn,8.0,23.0
15a67989-e41b-40a4-b61f-edd21cce5aa7,decd0138-4c04-4f18-8d2d-c85371011a15,2025-10-16 00:00:00,9.0,10670.15,Retail,2025-10-16 16:59:27,7724.89,96031.34999999999,26507.339999999982,0.2760279846112752,42,10,4,2025,3,0,Autumn,9.0,17.0
14835536-1680-426a-b158-c3763694ff1b,decd0138-4c04-4f18-8d2d-c85371011a15,2025-11-10 00:00:00,5.0,10670.15,Retail,2025-11-10 16:59:27,7724.89,53350.75,14726.299999999996,0.2760279846112753,46,11,4,2025,0,0,Autumn,5.0,14.0
bd3dc8d9-c9a0-4573-a8ad-e771e0b0b9d1,decd0138-4c04-4f18-8d2d-c85371011a15,2025-12-02 00:00:00,32.0,9069.63,Wholesale,2025-12-02 16:59:27,7724.89,290228.16,43031.679999999964,0.14826845196551558,49,12,4,2025,1,0,Winter,32.0,37.0
5b3d07b3-2930-4c26-8404-31b123bf7582,decd0138-4c04-4f18-8d2d-c85371011a15,2026-01-24 00:00:00,6.0,10670.15,Retail,2026-01-24 16:59:27,7724.89,64020.899999999994,17671.55999999999,0.27602798461127526,4,1,1,2026,5,1,Winter,6.0,6.0
3d56cc7e-96f0-4a2c-9bd4-654d86a0066b,decd0138-4c04-4f18-8d2d-c85371011a15,2026-02-09 00:00:00,3.0,10670.15,Retail,2026-02-09 16:59:27,7724.89,32010.449999999997,8835.779999999995,0.27602798461127526,7,2,1,2026,0,0,Winter,3.0,9.0
a249d66f-614c-43bb-b502-481887e1cadb,decd0138-4c04-4f18-8d2d-c85371011a15,2026-02-26 00:00:00,2.0,10670.15,Retail,2026-02-26 16:59:27,7724.89,21340.3,5890.519999999999,0.2760279846112753,9,2,1,2026,3,0,Winter,2.0,5.0
b28094ae-e227-4958-a70d-8e948bbb8058,decd0138-4c04-4f18-8d2d-c85371011a15,2026-04-01 00:00:00,1.0,10670.15,Retail,2026-04-01 16:59:27,7724.89,10670.15,2945.2599999999993,0.2760279846112753,14,4,2,2026,2,0,Spring,1.0,1.0
67255c95-c90d-4758-bd18-adba657577a7,decd0138-4c04-4f18-8d2d-c85371011a15,2026-04-16 00:00:00,2.0,10670.15,Retail,2026-04-16 16:59:27,7724.89,21340.3,5890.519999999999,0.2760279846112753,16,4,2,2026,3,0,Spring,2.0,3.0
1a1bf347-8763-4609-9ac9-9219f5cce5e2,decd0138-4c04-4f18-8d2d-c85371011a15,2026-04-23 00:00:00,1.0,10670.15,Retail,2026-04-23 16:59:27,7724.89,10670.15,2945.2599999999993,0.2760279846112753,17,4,2,2026,3,0,Spring,1.0,4.0
daba291f-0ed5-4c61-9ce8-35ce344da175,decd0138-4c04-4f18-8d2d-c85371011a15,2026-05-31 00:00:00,6.0,10670.15,Retail,2026-05-31 16:59:27,7724.89,64020.899999999994,17671.55999999999,0.27602798461127526,22,5,2,2026,6,1,Spring,6.0,6.0
cc692496-f33a-433c-9ff8-87833010e1d2,decd0138-4c04-4f18-8d2d-c85371011a15,2026-06-11 00:00:00,8.0,10670.15,Retail,2026-06-11 16:59:27,7724.89,85361.2,23562.079999999994,0.2760279846112753,24,6,2,2026,3,0,Summer,8.0,14.0
ccc08bb5-e8a7-4e0c-bda1-7769112e262f,decd0138-4c04-4f18-8d2d-c85371011a15,2026-06-21 00:00:00,4.0,10670.15,Retail,2026-06-21 16:59:27,7724.89,42680.6,11781.039999999997,0.2760279846112753,25,6,2,2026,6,1,Summer,4.0,18.0
11899534-a344-4a5b-83fe-b5bf2bfa5c0b,decd0138-4c04-4f18-8d2d-c85371011a15,2026-06-25 00:00:00,7.0,10670.15,Retail,2026-06-25 16:59:27,7724.89,74691.05,20616.82,0.27602798461127537,26,6,2,2026,3,0,Summer,11.0,25.0
1a67623a-9b31-4f72-8d44-e7194764d098,961678d3-9942-4d57-9dbc-ee7839a71f76,2025-07-19 00:00:00,4.0,258.75,Retail,2025-07-19 16:59:27,198.51,1035.0,240.96000000000004,0.2328115942028986,29,7,3,2025,5,1,Summer,4.0,4.0
8182bc3f-89d1-45a4-b93f-92efab7aaefb,961678d3-9942-4d57-9dbc-ee7839a71f76,2025-08-15 00:00:00,9.0,258.75,Retail,2025-08-15 16:59:27,198.51,2328.75,542.1600000000001,0.2328115942028986,33,8,3,2025,4,0,Summer,9.0,13.0
b1f9673d-a298-45f2-914d-bf03b78ac4d3,961678d3-9942-4d57-9dbc-ee7839a71f76,2025-08-19 00:00:00,7.0,258.75,Retail,2025-08-19 16:59:27,198.51,1811.25,421.68000000000006,0.2328115942028986,34,8,3,2025,1,0,Summer,16.0,16.0
81adf1a1-7a46-4dcb-bf42-d80f6f4b735b,961678d3-9942-4d57-9dbc-ee7839a71f76,2025-09-03 00:00:00,7.0,258.75,Retail,2025-09-03 16:59:27,198.51,1811.25,421.68000000000006,0.2328115942028986,36,9,3,2025,2,0,Autumn,7.0,23.0
07aaa844-d18c-4516-b725-8771de6d9d2b,961678d3-9942-4d57-9dbc-ee7839a71f76,2025-09-05 00:00:00,9.0,258.75,Retail,2025-09-05 16:59:27,198.51,2328.75,542.1600000000001,0.2328115942028986,36,9,3,2025,4,0,Autumn,16.0,32.0
adc7f01d-9f45-4248-a226-a3935e63385d,961678d3-9942-4d57-9dbc-ee7839a71f76,2025-11-11 00:00:00,22.0,219.94,Wholesale,2025-11-11 16:59:27,198.51,4838.68,471.46000000000095,0.0974356642720744,46,11,4,2025,1,0,Autumn,22.0,22.0
6806088e-0522-497b-9464-10d8f448641d,961678d3-9942-4d57-9dbc-ee7839a71f76,2025-12-20 00:00:00,1.0,258.75,Retail,2025-12-20 16:59:27,198.51,258.75,60.24000000000001,0.2328115942028986,51,12,4,2025,5,1,Winter,1.0,1.0
db803411-e08e-429a-9c99-4e67040ef8a3,961678d3-9942-4d57-9dbc-ee7839a71f76,2025-12-25 00:00:00,2.0,258.75,Retail,2025-12-25 16:59:27,198.51,517.5,120.48000000000002,0.2328115942028986,52,12,4,2025,3,0,Winter,3.0,3.0
cbdef57a-dfee-4ef9-8b74-eafd720d3c78,961678d3-9942-4d57-9dbc-ee7839a71f76,2026-02-09 00:00:00,5.0,258.75,Retail,2026-02-09 16:59:27,198.51,1293.75,301.20000000000005,0.2328115942028986,7,2,1,2026,0,0,Winter,5.0,5.0
85fab73d-404c-4632-b0ab-c6b452f2fc8b,961678d3-9942-4d57-9dbc-ee7839a71f76,2026-02-12 00:00:00,4.0,258.75,Retail,2026-02-12 16:59:27,198.51,1035.0,240.96000000000004,0.2328115942028986,7,2,1,2026,3,0,Winter,9.0,9.0
6610bafd-a3d0-4419-aaa1-b581aca2bde0,961678d3-9942-4d57-9dbc-ee7839a71f76,2026-02-23 00:00:00,8.0,258.75,Retail,2026-02-23 16:59:27,198.51,2070.0,481.9200000000001,0.2328115942028986,9,2,1,2026,0,0,Winter,8.0,17.0
a83f1463-6835-4316-b8c3-490b7371fe67,961678d3-9942-4d57-9dbc-ee7839a71f76,2026-03-29 00:00:00,5.0,258.75,Retail,2026-03-29 16:59:27,198.51,1293.75,301.20000000000005,0.2328115942028986,13,3,1,2026,6,1,Spring,5.0,5.0
a0ca4100-1bac-4835-86b2-bda416fa6862,961678d3-9942-4d57-9dbc-ee7839a71f76,2026-04-11 00:00:00,10.0,258.75,Retail,2026-04-11 16:59:27,198.51,2587.5,602.4000000000001,0.2328115942028986,15,4,2,2026,5,1,Spring,10.0,15.0
5a06fcc9-27f3-4855-94d2-5863dbcac58c,961678d3-9942-4d57-9dbc-ee7839a71f76,2026-05-06 00:00:00,2.0,258.75,Retail,2026-05-06 16:59:27,198.51,517.5,120.48000000000002,0.2328115942028986,19,5,2,2026,2,0,Spring,2.0,12.0
86c9f178-8a3d-4f32-ba92-c221ebe00ecf,961678d3-9942-4d57-9dbc-ee7839a71f76,2026-05-13 00:00:00,35.0,219.94,Wholesale,2026-05-13 16:59:27,198.51,7697.9,750.0500000000002,0.09743566427207423,20,5,2,2026,2,0,Spring,35.0,37.0
6dfa0709-14d4-4f20-8ae1-8a6b7173e99d,961678d3-9942-4d57-9dbc-ee7839a71f76,2026-06-23 00:00:00,27.0,219.94,Wholesale,2026-06-23 16:59:27,198.51,5938.38,578.6100000000006,0.0974356642720743,26,6,2,2026,1,0,Summer,27.0,27.0
183af5d2-d6fa-462b-a20b-5090b7f87f1a,51a59c0e-75f2-4354-ad3a-963492b6e1d2,2025-07-24 00:00:00,30.0,907.56,Wholesale,2025-07-24 16:59:27,799.74,27226.8,3234.5999999999985,0.1188020626735422,30,7,3,2025,3,0,Summer,30.0,30.0
1efb32fd-50bc-4712-a4a3-616f0394875e,51a59c0e-75f2-4354-ad3a-963492b6e1d2,2025-08-28 00:00:00,4.0,1067.72,Retail,2025-08-28 16:59:27,799.74,4270.88,1071.92,0.25098340388866,35,8,3,2025,3,0,Summer,4.0,4.0
80d27f16-2ea0-4df1-93c5-a96407392b03,51a59c0e-75f2-4354-ad3a-963492b6e1d2,2025-10-02 00:00:00,40.875,907.56,Wholesale,2025-10-02 16:59:27,799.74,37096.515,4407.142499999998,0.1188020626735422,40,10,4,2025,3,0,Autumn,40.875,40.875
c6e8b259-eb07-4cf5-935d-f7f14881d677,51a59c0e-75f2-4354-ad3a-963492b6e1d2,2025-10-03 00:00:00,4.0,1067.72,Retail,2025-10-03 16:59:27,799.74,4270.88,1071.92,0.25098340388866,40,10,4,2025,4,0,Autumn,44.875,44.875
d48f575d-1dac-4788-ad6c-6cd4e5db6f00,51a59c0e-75f2-4354-ad3a-963492b6e1d2,2025-11-20 00:00:00,7.0,1067.72,Retail,2025-11-20 16:59:27,799.74,7474.04,1875.8599999999997,0.2509834038886599,47,11,4,2025,3,0,Autumn,7.0,7.0
021d2659-34c3-4c70-ba88-59083a245847,51a59c0e-75f2-4354-ad3a-963492b6e1d2,2025-11-25 00:00:00,8.0,1067.72,Retail,2025-11-25 16:59:27,799.74,8541.76,2143.84,0.25098340388866,48,11,4,2025,1,0,Autumn,15.0,15.0
86cdf69e-8b4e-46e9-9cbc-e3c7e343592f,51a59c0e-75f2-4354-ad3a-963492b6e1d2,2025-11-26 00:00:00,8.0,1067.72,Retail,2025-11-26 16:59:27,799.74,8541.76,2143.84,0.25098340388866,48,11,4,2025,2,0,Autumn,23.0,23.0
